query_template,log_time_s,count
BEGIN,2022-05-18 18:10:33.500000+00:00,70
BEGIN,2022-05-18 18:10:33.750000+00:00,83
BEGIN,2022-05-18 18:10:34+00:00,84
BEGIN,2022-05-18 18:10:34.250000+00:00,87
BEGIN,2022-05-18 18:10:34.500000+00:00,78
BEGIN,2022-05-18 18:10:34.750000+00:00,85
BEGIN,2022-05-18 18:10:35+00:00,82
BEGIN,2022-05-18 18:10:35.250000+00:00,1
COMMIT,2022-05-18 18:10:03+00:00,2
COMMIT,2022-05-18 18:10:03.250000+00:00,30
COMMIT,2022-05-18 18:10:03.500000+00:00,40
COMMIT,2022-05-18 18:10:03.750000+00:00,58
COMMIT,2022-05-18 18:10:04+00:00,49
COMMIT,2022-05-18 18:10:04.250000+00:00,56
COMMIT,2022-05-18 18:10:04.500000+00:00,72
COMMIT,2022-05-18 18:10:04.750000+00:00,59
COMMIT,2022-05-18 18:10:05+00:00,52
COMMIT,2022-05-18 18:10:05.250000+00:00,54
COMMIT,2022-05-18 18:10:05.500000+00:00,80
COMMIT,2022-05-18 18:10:05.750000+00:00,69
COMMIT,2022-05-18 18:10:06+00:00,71
COMMIT,2022-05-18 18:10:06.250000+00:00,69
COMMIT,2022-05-18 18:10:06.500000+00:00,56
COMMIT,2022-05-18 18:10:06.750000+00:00,74
COMMIT,2022-05-18 18:10:07+00:00,49
COMMIT,2022-05-18 18:10:07.250000+00:00,63
COMMIT,2022-05-18 18:10:07.500000+00:00,73
COMMIT,2022-05-18 18:10:07.750000+00:00,79
COMMIT,2022-05-18 18:10:08+00:00,56
COMMIT,2022-05-18 18:10:08.250000+00:00,73
COMMIT,2022-05-18 18:10:08.500000+00:00,76
COMMIT,2022-05-18 18:10:08.750000+00:00,58
COMMIT,2022-05-18 18:10:09+00:00,63
COMMIT,2022-05-18 18:10:09.250000+00:00,68
COMMIT,2022-05-18 18:10:09.500000+00:00,61
COMMIT,2022-05-18 18:10:09.750000+00:00,65
COMMIT,2022-05-18 18:10:10+00:00,47
COMMIT,2022-05-18 18:10:10.250000+00:00,57
COMMIT,2022-05-18 18:10:10.500000+00:00,53
COMMIT,2022-05-18 18:10:10.750000+00:00,45
COMMIT,2022-05-18 18:10:11+00:00,64
COMMIT,2022-05-18 18:10:11.250000+00:00,66
COMMIT,2022-05-18 18:10:11.500000+00:00,59
COMMIT,2022-05-18 18:10:11.750000+00:00,53
COMMIT,2022-05-18 18:10:12+00:00,63
COMMIT,2022-05-18 18:10:12.250000+00:00,37
COMMIT,2022-05-18 18:10:12.500000+00:00,47
COMMIT,2022-05-18 18:10:12.750000+00:00,68
COMMIT,2022-05-18 18:10:13+00:00,68
COMMIT,2022-05-18 18:10:13.250000+00:00,80
COMMIT,2022-05-18 18:10:13.500000+00:00,68
COMMIT,2022-05-18 18:10:13.750000+00:00,62
COMMIT,2022-05-18 18:10:14+00:00,82
COMMIT,2022-05-18 18:10:14.250000+00:00,49
COMMIT,2022-05-18 18:10:14.500000+00:00,79
COMMIT,2022-05-18 18:10:14.750000+00:00,46
COMMIT,2022-05-18 18:10:15+00:00,53
COMMIT,2022-05-18 18:10:15.250000+00:00,60
COMMIT,2022-05-18 18:10:15.500000+00:00,72
COMMIT,2022-05-18 18:10:15.750000+00:00,80
COMMIT,2022-05-18 18:10:16+00:00,69
COMMIT,2022-05-18 18:10:16.250000+00:00,84
COMMIT,2022-05-18 18:10:16.500000+00:00,63
COMMIT,2022-05-18 18:10:16.750000+00:00,77
COMMIT,2022-05-18 18:10:17+00:00,79
COMMIT,2022-05-18 18:10:17.250000+00:00,76
COMMIT,2022-05-18 18:10:17.500000+00:00,78
COMMIT,2022-05-18 18:10:17.750000+00:00,82
COMMIT,2022-05-18 18:10:18+00:00,84
COMMIT,2022-05-18 18:10:18.250000+00:00,59
COMMIT,2022-05-18 18:10:18.500000+00:00,60
COMMIT,2022-05-18 18:10:18.750000+00:00,81
COMMIT,2022-05-18 18:10:19+00:00,91
COMMIT,2022-05-18 18:10:19.250000+00:00,46
COMMIT,2022-05-18 18:10:19.500000+00:00,66
COMMIT,2022-05-18 18:10:19.750000+00:00,71
COMMIT,2022-05-18 18:10:20+00:00,63
COMMIT,2022-05-18 18:10:20.250000+00:00,53
COMMIT,2022-05-18 18:10:20.500000+00:00,70
COMMIT,2022-05-18 18:10:20.750000+00:00,63
COMMIT,2022-05-18 18:10:21+00:00,61
COMMIT,2022-05-18 18:10:21.250000+00:00,59
COMMIT,2022-05-18 18:10:21.500000+00:00,53
COMMIT,2022-05-18 18:10:21.750000+00:00,59
COMMIT,2022-05-18 18:10:22+00:00,79
COMMIT,2022-05-18 18:10:22.250000+00:00,52
COMMIT,2022-05-18 18:10:22.500000+00:00,70
COMMIT,2022-05-18 18:10:22.750000+00:00,78
COMMIT,2022-05-18 18:10:23+00:00,73
COMMIT,2022-05-18 18:10:23.250000+00:00,69
COMMIT,2022-05-18 18:10:23.500000+00:00,49
COMMIT,2022-05-18 18:10:23.750000+00:00,61
COMMIT,2022-05-18 18:10:24+00:00,95
COMMIT,2022-05-18 18:10:24.250000+00:00,73
COMMIT,2022-05-18 18:10:24.500000+00:00,65
COMMIT,2022-05-18 18:10:24.750000+00:00,61
COMMIT,2022-05-18 18:10:25+00:00,81
COMMIT,2022-05-18 18:10:25.250000+00:00,73
COMMIT,2022-05-18 18:10:25.500000+00:00,83
COMMIT,2022-05-18 18:10:25.750000+00:00,45
COMMIT,2022-05-18 18:10:26+00:00,67
COMMIT,2022-05-18 18:10:26.250000+00:00,46
COMMIT,2022-05-18 18:10:26.500000+00:00,82
COMMIT,2022-05-18 18:10:26.750000+00:00,74
COMMIT,2022-05-18 18:10:27+00:00,84
COMMIT,2022-05-18 18:10:27.250000+00:00,64
COMMIT,2022-05-18 18:10:27.500000+00:00,51
COMMIT,2022-05-18 18:10:27.750000+00:00,71
COMMIT,2022-05-18 18:10:28+00:00,77
COMMIT,2022-05-18 18:10:28.250000+00:00,67
COMMIT,2022-05-18 18:10:28.500000+00:00,68
COMMIT,2022-05-18 18:10:28.750000+00:00,83
COMMIT,2022-05-18 18:10:29+00:00,54
COMMIT,2022-05-18 18:10:29.250000+00:00,87
COMMIT,2022-05-18 18:10:29.500000+00:00,59
COMMIT,2022-05-18 18:10:29.750000+00:00,56
COMMIT,2022-05-18 18:10:30+00:00,73
COMMIT,2022-05-18 18:10:30.250000+00:00,51
COMMIT,2022-05-18 18:10:30.500000+00:00,67
COMMIT,2022-05-18 18:10:30.750000+00:00,66
COMMIT,2022-05-18 18:10:31+00:00,78
COMMIT,2022-05-18 18:10:31.250000+00:00,93
COMMIT,2022-05-18 18:10:31.500000+00:00,64
COMMIT,2022-05-18 18:10:31.750000+00:00,63
COMMIT,2022-05-18 18:10:32+00:00,57
COMMIT,2022-05-18 18:10:32.250000+00:00,69
COMMIT,2022-05-18 18:10:32.500000+00:00,82
COMMIT,2022-05-18 18:10:32.750000+00:00,50
COMMIT,2022-05-18 18:10:33+00:00,81
COMMIT,2022-05-18 18:10:33.250000+00:00,78
COMMIT,2022-05-18 18:10:33.500000+00:00,69
COMMIT,2022-05-18 18:10:33.750000+00:00,83
COMMIT,2022-05-18 18:10:34+00:00,84
COMMIT,2022-05-18 18:10:34.250000+00:00,88
COMMIT,2022-05-18 18:10:34.500000+00:00,77
COMMIT,2022-05-18 18:10:34.750000+00:00,84
COMMIT,2022-05-18 18:10:35+00:00,83
COMMIT,2022-05-18 18:10:35.250000+00:00,1
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:03.250000+00:00,11
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:03.500000+00:00,29
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:03.750000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:04+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:04.250000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:04.500000+00:00,0
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:04.750000+00:00,50
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:05+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:05.250000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:05.500000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:05.750000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:06+00:00,50
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:06.250000+00:00,50
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:06.500000+00:00,16
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:06.750000+00:00,14
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:07+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:07.250000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:07.500000+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:07.750000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:08+00:00,50
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:08.250000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:08.500000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:08.750000+00:00,58
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:09+00:00,38
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:09.250000+00:00,24
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:09.500000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:09.750000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:10+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:10.250000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:10.500000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:10.750000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:11+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:11.250000+00:00,3
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:11.500000+00:00,27
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:11.750000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:12+00:00,0
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:12.250000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:12.500000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:12.750000+00:00,70
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:13+00:00,33
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:13.250000+00:00,37
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:13.500000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:13.750000+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:14+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:14.250000+00:00,0
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:14.500000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:14.750000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:15+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:15.250000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:15.500000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:15.750000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:16+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:16.250000+00:00,0
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:16.500000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:16.750000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:17+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:17.250000+00:00,56
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:17.500000+00:00,24
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:17.750000+00:00,70
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:18+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:18.250000+00:00,0
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:18.500000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:18.750000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:19+00:00,50
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:19.250000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:19.500000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:19.750000+00:00,72
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:20+00:00,28
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:20.250000+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:20.500000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:20.750000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:21+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:21.250000+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:21.500000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:21.750000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:22+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:22.250000+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:22.500000+00:00,42
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:22.750000+00:00,48
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:23+00:00,0
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:23.250000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:23.500000+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:23.750000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:24+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:24.250000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:24.500000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:24.750000+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:25+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:25.250000+00:00,40
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:25.500000+00:00,50
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:25.750000+00:00,30
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:26+00:00,20
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:26.250000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:26.500000+00:00,10
DELETE FROM new_order WHERE NO_O_ID = $1 AND NO_D_ID = $2 AND NO_W_ID = $3,2022-05-18 18:10:26.750000+00:00,20
